grocery store,latitude,longitude,categories
Heng Fa Food Market,39.954418,-75.156356,Grocery
1st Oriental Supermarket,39.9345440435964,-75.1535654067993,Imported Food
Asia Supermarket,39.9549572914839,-75.1575444638729,Grocery
Hung Vuong Super Market,39.9367485046387,-75.1627578735352,Grocery
Gong's Market,40.04417,-75.53014,Grocery
Great World Supermarket,39.95378,-75.15592,Grocery
Spring Garden Market,39.9605255126953,-75.1454696655273,Grocery
Sue's Produce Market,39.95125,-75.17069,Grocery
Reading Terminal Market,39.953341464505,-75.1588545174235,Public Markets
Hmart,39.90778,-74.97715,Korean
Whole Foods Market,39.942914,-75.157785,Grocery
Mai's Garden,40.220455090796,-74.8717940196217,Grocery
Assi Plaza,40.22545,-75.25472,Korean
Fu-Wah Mini Market,39.9483,-75.21706,Convenience Stores
Iovine Brothers Produce,39.9530156476504,-75.1595171081428,Fruits & Veggies
Trader Joe's,39.9542815,-75.1761329,Grocery
Chung May Chinese & American Food Corp,39.9556579589844,-75.1565322875977,Grocery
Seng Hong Oriental Market,40.02765,-75.14615,Grocery
Tuck Hing,39.9561080932617,-75.1559371948242,Grocery
Hmart,40.063,-75.13678,Grocery
Hmart,39.9613068,-75.2630991,Grocery
Aldi,39.97864,-75.27069,Grocery
Sun Seng Supermarket,39.935716,-75.066271,Grocery
Big 8 Supermarket,39.939248,-75.170307,Grocery
Bell's Market,40.068352,-75.051423,Delis
Tasty Place,39.9549567621407,-75.1575445785279,Chinese
The Fresh Grocer of Walnut,39.954465693397,-75.202940731325,Grocery
Trader Joe's,39.8895387533888,-74.9238066956438,Grocery
Usha Food Market,40.044663,-75.529633,Grocery
Di Bruno Bros.,39.95176,-75.170027,Cheese Shops
The Fresh Grocer of Grays Ferry,39.9393149,-75.1938731,Grocery
The Fresh Grocer of Monument Road,40.00234,-75.21378,Grocery
ShopRite - Parkside,39.9795455,-75.2248381,Grocery
Chai Hong Market,39.9215698242188,-75.1587066650391,Grocery
Food & Friends,39.9483,-75.17414,Grocery
Oregon Market,39.9138259887695,-75.1535949707031,Grocery
Su Xing House,39.950215,-75.166346,Chinese
Hmart,40.16589,-74.8758299,Grocery
Han Dynasty,39.9567105160991,-75.1971027810898,Szechuan
Heung Fa Chun Sweet House,39.9539057451979,-75.1562611059858,Chinese
Asian Bamboo House,40.050018,-74.989493,Chinese
Swarthmore CO-OP,39.9023722,-75.3489253,Grocery
Beijing Restaurant,39.951003703315,-75.198065612094,Chinese
Hue Fusion Food Market,39.979339,-75.161205,Delis
Tai Lake Restaurant,39.95466,-75.15634,Chinese
Lee's Market,40.0892589,-75.2910115,Fruits & Veggies
The Fresh Grocer - Progress Plaza,39.9766631334707,-75.1577826340881,Grocery
Dim Sum Garden,39.955399,-75.156727,Dim Sum
Produce Market,39.95474,-75.15659,Fruits & Veggies
ShopRite of Brookhaven,39.8801113022982,-75.3959545819088,Grocery
